#Arquivo Dados/ColetaChamadaReal60.txt 
#Parâmetros(Ocupação: 60.00%, Capacidade: 588000.000 bps)
#Coleta|Ocupação|E(n)|E(w)|lambda|Little

100 0.00000 0.00000 -nan 0.00000 -nan
8200 10.21233 44.07377 1328.69463 0.03317 0.00000000000008526513
8300 10.22395 43.59999 1325.56735 0.03289 0.00000000000009947598
8400 10.21276 43.11416 1316.94155 0.03274 0.00000000000009947598
8500 10.22527 42.64170 1303.79288 0.03271 0.00000000000008526513
8600 10.46658 42.19329 1286.74574 0.03279 0.00000000000007105427
8700 10.34627 41.78311 1279.97555 0.03264 0.00000000000008526513
8800 10.26290 41.40395 1273.96781 0.03250 0.00000000000008526513
8900 10.34109 41.03993 1263.85946 0.03247 0.00000000000009237056
9000 10.25886 40.69669 1254.34999 0.03244 0.00000000000011368684
9100 10.30007 40.34794 1227.98064 0.03286 0.00000000000014210855
9200 10.35197 40.03152 1211.48016 0.03304 0.00000000000013500312
9300 10.32407 39.75943 1212.33674 0.03280 0.00000000000012789769
9400 10.48462 39.49210 1201.37781 0.03287 0.00000000000013500312
9500 10.37426 39.24889 1195.07839 0.03284 0.00000000000012079227
9600 10.32676 39.04394 1186.14495 0.03292 0.00000000000012789769
9700 10.44634 38.88761 1175.10845 0.03309 0.00000000000012789769
9800 10.33975 38.76363 1165.28691 0.03327 0.00000000000011368684
9900 10.34562 38.67958 1163.91450 0.03323 0.00000000000012789769
10000 10.44519 38.58914 1165.83490 0.03310 0.00000000000012079227
10100 10.34177 38.53656 1158.39067 0.03327 0.00000000000012789769
10200 10.34307 38.45793 1164.00857 0.03304 0.00000000000014210855
10300 10.36984 38.35233 1158.44292 0.03311 0.00000000000014921397
10400 10.40718 38.27889 1150.57922 0.03327 0.00000000000014921397
10500 10.37787 38.23397 1150.30577 0.03324 0.00000000000014210855
10600 10.35441 38.18779 1159.85836 0.03292 0.00000000000013500312
10700 10.35976 38.13901 1162.64230 0.03280 0.00000000000014921397
10800 10.35932 38.06920 1161.43309 0.03278 0.00000000000016342483
10900 10.36313 37.96710 1159.21953 0.03275 0.00000000000019895197
11000 10.41673 37.86255 1150.51951 0.03291 0.00000000000020605739
11100 10.38489 37.79479 1143.11226 0.03306 0.00000000000021316282
11200 10.39004 37.77865 1131.33913 0.03339 0.00000000000022737368
11300 10.47617 37.77973 1132.38965 0.03336 0.00000000000024868996
11400 10.40921 37.79269 1139.77965 0.03316 0.00000000000024158453
11500 10.39587 37.79273 1143.72738 0.03304 0.00000000000019895197
11600 10.40416 37.77782 1153.21774 0.03276 0.00000000000018474111
11700 10.41231 37.77991 1148.11665 0.03291 0.00000000000019184654
11800 10.40569 37.79138 1149.32563 0.03288 0.00000000000019184654
11900 10.42746 37.80226 1156.41860 0.03269 0.00000000000019184654
12000 10.58074 37.81200 1157.51035 0.03267 0.00000000000015631940
12100 10.49330 37.82979 1155.91032 0.03273 0.00000000000012789769
12200 10.44946 37.87893 1161.11282 0.03262 0.00000000000016342483
12300 10.53148 37.94079 1155.12799 0.03285 0.00000000000015631940
12400 10.44655 38.05419 1153.72126 0.03298 0.00000000000009947598
12500 10.44831 38.15848 1154.91777 0.03304 0.00000000000012079227
12600 10.49741 38.23410 1158.05196 0.03302 0.00000000000009947598
12700 10.45837 38.32269 1164.34966 0.03291 0.00000000000012079227
12800 10.44223 38.42544 1162.75556 0.03305 0.00000000000012079227
12900 10.47443 38.48545 1165.40448 0.03302 0.00000000000013500312
