# Arquivo Coleta1.txt 
#Coluna 1 > Ponto de coleta
#Coluna 2 > Ocupação
#Coluna 3 > E(n)
#Coluna 4 > E(w)
#Coluna 5 > lambda
#Coluna 6 > Erro de Little
7900 6782.17101 5.93134 2.93833 2.01861 -0.00000000006046718681
8000 6856.53755 5.91533 2.93274 2.01700 -0.00000000005383427037
8100 6931.13887 5.87025 2.91104 2.01654 -0.00000000006000533403
8200 7028.72600 5.87143 2.90911 2.01829 -0.00000000007436717908
8300 7116.00669 5.85438 2.90288 2.01675 -0.00000000007543832226
8400 7183.04986 5.80021 2.88090 2.01333 -0.00000000008111200600
8500 7269.28955 5.77732 2.86908 2.01365 -0.00000000009885958718
8600 7357.59766 5.80648 2.88080 2.01558 -0.00000000009431122550
8700 7448.12072 5.89627 2.92544 2.01552 -0.00000000009492495678
8800 7520.50471 5.85860 2.90897 2.01398 -0.00000000008578560085
8900 7596.38220 5.82975 2.89697 2.01236 -0.00000000007579625816
9000 7685.67765 5.82560 2.89239 2.01411 -0.00000000009648637445
9100 7768.70563 5.79074 2.87343 2.01527 -0.00000000009415845881
9200 7863.83270 5.88536 2.91873 2.01641 -0.00000000008649081451
9300 7937.54367 5.87444 2.91902 2.01247 -0.00000000008045653033
9400 8023.88808 5.86587 2.91696 2.01096 -0.00000000008132783336
9500 8105.86772 5.83963 2.90529 2.01000 -0.00000000007692957382
9600 8174.66969 5.79664 2.88719 2.00771 -0.00000000006163958233
9700 8259.62759 5.77507 2.87893 2.00598 -0.00000000006775024985
9800 8346.03291 5.75772 2.87081 2.00561 -0.00000000006086331439
9900 8434.22572 5.73464 2.85492 2.00869 -0.00000000005655209634
10000 8515.08813 5.72029 2.85003 2.00710 -0.00000000006521272411
10100 8595.14728 5.69599 2.83998 2.00564 -0.00000000006714806489
10200 8671.71752 5.67013 2.83007 2.00353 -0.00000000006929656848
10300 8754.67563 5.64635 2.82085 2.00165 -0.00000000006728040347
10400 8830.07908 5.61538 2.80513 2.00183 -0.00000000008025935472
10500 8912.45201 5.60829 2.80161 2.00181 -0.00000000006894929072
10600 8984.98099 5.58864 2.79156 2.00198 -0.00000000008035527799
10700 9071.10946 5.56898 2.78072 2.00271 -0.00000000008954259556
10800 9152.08475 5.55312 2.77399 2.00185 -0.00000000009217870911
10900 9231.28400 5.53420 2.76659 2.00037 -0.00000000009471445850
11000 9310.28382 5.51235 2.75768 1.99891 -0.00000000009050715732
11100 9391.90018 5.49984 2.75103 1.99919 -0.00000000007708944594
11200 9482.43323 5.51796 2.75898 2.00000 -0.00000000006157563348
11300 9578.25096 5.51862 2.75846 2.00062 -0.00000000005400391245
11400 9663.45880 5.49802 2.74865 2.00026 -0.00000000005064570985
11500 9734.76840 5.48239 2.74298 1.99870 -0.00000000007217515474
11600 9831.60111 5.59215 2.79801 1.99862 -0.00000000006075584480
11700 9918.69924 5.59110 2.79926 1.99735 -0.00000000007265033020
11800 10009.75888 5.58983 2.79824 1.99763 -0.00000000006677680631
11900 10090.82114 5.56901 2.78556 1.99924 -0.00000000008828937581
12000 10165.92349 5.54236 2.77384 1.99808 -0.00000000007909495281
12100 10241.20911 5.51959 2.76379 1.99711 -0.00000000005740297127
12200 10323.12480 5.50707 2.76043 1.99500 -0.00000000005142553050
12300 10401.35287 5.48670 2.75084 1.99455 -0.00000000006845013445
12400 10487.35594 5.47596 2.74506 1.99484 -0.00000000005100719846
12500 10554.12989 5.44288 2.73193 1.99232 -0.00000000004208189353
12600 10635.41476 5.43144 2.72686 1.99183 -0.00000000003303135543
12700 10718.30110 5.41779 2.71960 1.99213 -0.00000000003894040645
12800 10810.11139 5.42690 2.72409 1.99219 -0.00000000004064126813
12900 10901.72571 5.46000 2.73956 1.99302 -0.00000000002991651371
13000 10980.28131 5.43621 2.72818 1.99262 -0.00000000002122302334
13100 11066.34407 5.43849 2.73071 1.99160 -0.00000000001313260611
13200 11148.76991 5.45220 2.73865 1.99083 -0.00000000001282174367
13300 11217.05951 5.42392 2.72600 1.98970 0.00000000001250910486
13400 11291.96879 5.40048 2.71371 1.99007 0.00000000003026467965
13500 11366.37846 5.37670 2.70206 1.98985 0.00000000002535927024
13600 11459.15512 5.38977 2.70792 1.99037 0.00000000001331734722
13700 11545.37284 5.37900 2.70133 1.99124 0.00000000002210587269
13800 11639.57391 5.38957 2.70399 1.99319 0.00000000002820854661
13900 11727.96606 5.39283 2.70507 1.99360 0.00000000002919264830
14000 11822.11902 5.43523 2.72511 1.99450 0.00000000003877165256
14100 11899.33428 5.41595 2.71500 1.99482 0.00000000003042099905
14200 11986.79967 5.40730 2.71263 1.99338 0.00000000002844480207
14300 12065.95920 5.39452 2.70834 1.99182 0.00000000001970512642
14400 12162.15815 5.45679 2.73742 1.99340 0.00000000003809930149
14500 12249.82405 5.49287 2.75594 1.99310 0.00000000004452971325
14600 12334.63113 5.48118 2.75067 1.99267 0.00000000005353317789
14700 12420.36267 5.48675 2.75321 1.99286 0.00000000003507238944
14800 12506.73994 5.47359 2.74738 1.99230 0.00000000005533262737
14900 12579.45362 5.45227 2.73993 1.98993 0.00000000006813039022
15000 12660.76667 5.43639 2.73240 1.98960 0.00000000005560796268
15100 12751.78966 5.44619 2.73660 1.99013 0.00000000005478018039
15200 12835.06344 5.43290 2.73127 1.98914 0.00000000006027178756
15300 12913.77871 5.42264 2.72629 1.98902 0.00000000004663469610
15400 12991.19454 5.40466 2.71804 1.98844 0.00000000003772271384
15500 13065.80902 5.38646 2.70834 1.98884 0.00000000002422506640
15600 13155.22094 5.38285 2.70661 1.98878 0.00000000003510169932
15700 13239.46829 5.39840 2.71337 1.98955 0.00000000005351807886
15800 13316.79093 5.38123 2.70629 1.98842 0.00000000006252776075
15900 13396.27713 5.37699 2.70594 1.98711 0.00000000007691181025
16000 13488.42195 5.38806 2.71157 1.98706 0.00000000006861089474
16100 13575.13251 5.40374 2.71978 1.98683 0.00000000007967226878
16200 13657.06473 5.41028 2.72431 1.98593 0.00000000010425171837
16300 13738.95009 5.39895 2.71883 1.98577 0.00000000010156675501
16400 13820.19120 5.39480 2.71770 1.98506 0.00000000009499956377
16500 13916.56840 5.41328 2.72638 1.98552 0.00000000007869083163
16600 13998.27079 5.40944 2.72590 1.98446 0.00000000005857536678
16700 14088.44701 5.41997 2.73084 1.98473 0.00000000009075584728
16800 14175.02924 5.41877 2.73051 1.98452 0.00000000007444089789
16900 14256.09042 5.40242 2.72207 1.98467 0.00000000009042011584
17000 14344.12487 5.39798 2.71906 1.98524 0.00000000006782663320
17100 14421.95067 5.38270 2.71181 1.98491 0.00000000007030021010
17200 14504.13368 5.37238 2.70601 1.98535 0.00000000007478639930
17300 14594.78830 5.38779 2.71232 1.98642 0.00000000004991207447
17400 14693.05102 5.42877 2.73197 1.98713 0.00000000000204281037
17500 14781.92582 5.42038 2.72741 1.98737 -0.00000000001134381478
17600 14867.07010 5.40668 2.72058 1.98733 -0.00000000000926192456
17700 14956.17402 5.39928 2.71668 1.98746 0.00000000001191580168
17800 15042.38882 5.40309 2.71842 1.98758 0.00000000002754152462
17900 15120.45067 5.38598 2.71078 1.98687 0.00000000001635047653
18000 15214.66412 5.38811 2.71115 1.98739 -0.00000000001907807246
18100 15303.00830 5.39124 2.71195 1.98796 -0.00000000004633715633
18200 15381.41420 5.38067 2.70752 1.98731 0.00000000000856203997
18300 15465.67619 5.37629 2.70492 1.98760 0.00000000003606093202
18400 15548.73826 5.36352 2.69833 1.98772 0.00000000001791455873
18500 15641.06194 5.38378 2.70762 1.98838 0.00000000002936140220
18600 15734.46168 5.41959 2.72386 1.98968 0.00000000004263434050
18700 15809.63852 5.40256 2.71573 1.98936 0.00000000008274980701
18800 15899.17710 5.39830 2.71199 1.99053 0.00000000007249756351
18900 15972.03369 5.38031 2.70267 1.99074 0.00000000007322142892
19000 16058.35393 5.38693 2.70600 1.99074 0.00000000010769074521
19100 16139.67039 5.37545 2.70038 1.99063 0.00000000014149659222
19200 16238.29174 5.41983 2.72118 1.99172 0.00000000011607603767
19300 16321.21965 5.41325 2.71818 1.99150 0.00000000011212719642
19400 16406.31981 5.41267 2.71557 1.99320 0.00000000012686740547
19500 16502.43235 5.43983 2.72929 1.99313 0.00000000012388046144
19600 16585.91230 5.42863 2.72300 1.99362 0.00000000012368239766
19700 16668.18723 5.41496 2.71568 1.99396 0.00000000010470557754
19800 16738.22791 5.39857 2.70886 1.99293 0.00000000010654854776
19900 16831.23061 5.39266 2.70632 1.99261 0.00000000010590639477
20000 16911.29249 5.38498 2.70154 1.99330 0.00000000012072831623
20100 16992.05145 5.37000 2.69452 1.99294 0.00000000011574385894
20200 17079.17701 5.36704 2.69191 1.99376 0.00000000010460077249
20300 17155.60281 5.35222 2.68517 1.99325 0.00000000010909140258
20400 17232.93661 5.33827 2.67747 1.99377 0.00000000010083489599
20500 17315.65201 5.33441 2.67602 1.99341 0.00000000008707967680
